 TIME                                   ,IR_hori_kjphpm2                         ,Incidence_Angle_Horizontal,T_RTPV                                  ,Tout
0.5,0,90,12.775,12.8
1,0,90,16.325,16.3
1.5,0,90,18.05,18.1
2,0,90,17.95,17.9
2.5,0,90,17.85,17.9
3,0,90,17.75,17.8
3.5,0,90,17.675,17.7
4,0,90,17.625,17.6
4.5,0,90,17.575,17.6
5,0,90,17.525,17.5
5.5,0,90,17.5,17.5
6,0,90,17.5,17.5
6.5,0,90,17.475,17.5
7,0,90,17.425,17.4
7.5,5.4,87.9069,17.425,17.4
8,16.2,82.7806,17.5364,17.5
8.5,115.2,76.8245,18.0808,17.7
9,266.4,71.1124,19.0168,17.9
9.5,392.85,65.7095,19.7497,18.3
10,521.55,60.6997,20.2747,18.7
10.5,642.1064,56.1893,20.9729,19.1
11,786.3063,52.3089,22.0258,19.6
11.5,998.3806,49.2085,23.2985,20
12,1082.7142,47.0432,24.0385,20.5
12.5,1028.0192,45.9459,24.1726,20.9
13,1036.4403,45.9933,24.4279,21.2
13.5,1090.6513,47.1819,24.7642,21.4
14,1057.0338,49.4293,24.7552,21.7
14.5,945.6281,52.5996,24.6339,21.9
15,851.4543,56.5371,24.6429,22
15.5,774.4397,61.0929,24.3968,22.1
16,623.6458,66.1387,23.7157,22.1
16.5,414.9,71.5698,23.0505,22
17,254.7,77.3041,22.53,21.8
17.5,90.9,83.2778,21.8216,21.6
18,0,88.1606,21.25,21.3
18.5,0,90,20.95,21
19,0,90,20.65,20.7
19.5,0,90,20.375,20.4
20,0,90,20.125,20.1
20.5,0,90,19.875,19.9
21,0,90,19.625,19.6
21.5,0,90,19.35,19.4
22,0,90,19.05,19.1
22.5,0,90,18.75,18.8
23,0,90,18.45,18.4
23.5,0,90,18.2,18.2
24,0,90,18,18
24.5,0,90,17.75,17.8
25,0,90,17.45,17.4
25.5,0,90,17.15,17.2
26,0,90,16.85,16.9
26.5,0,90,16.55,16.6
27,0,90,16.25,16.3
27.5,0,90,16.025,16
28,0,90,15.875,15.9
28.5,0,90,15.725,15.7
29,0,90,15.575,15.6
29.5,0,90,15.425,15.4
30,0,90,15.275,15.3
30.5,0,90,15.15,15.2
31,0,90,15.05,15.1
31.5,12.6,87.935,15.0609,15
32,37.8,82.8333,15.2005,15.1
32.5,282.5484,76.8697,16.4547,15.4
33,630.0586,71.1489,18.36,15.9
33.5,881.1256,65.7358,19.9269,16.5
34,1098.7814,60.714,21.5479,17.2
34.5,1388.9052,56.1897,23.5682,17.8
35,1400.3312,52.2934,24.0403,18.5
35.5,990.4654,49.1752,22.55,18.9
36,1002.313,46.991,22.915,18.9
36.5,1288.3373,45.875,24.1767,19.1
37,1321.647,45.9052,24.0625,19.4
37.5,1089.2679,47.0795,23.0094,19.5
38,1306.2078,49.3159,23.9751,19.6
38.5,1507.1691,52.4785,25.2187,19.7
39,1415.5136,56.4112,25.7887,19.9
39.5,1001.9493,60.9644,23.8878,20
40,730.8939,66.009,22.3654,19.9
40.5,463.3862,71.44,21.184,19.7
41,259.65,77.1749,20.2331,19.4
41.5,90,83.1497,19.2637,18.9
42,0,88.0965,18.45,18.4
42.5,0,90,18.125,18.1
43,0,90,17.975,18
43.5,0,90,17.825,17.8
44,0,90,17.675,17.7
44.5,0,90,17.5,17.5
45,0,90,17.3,17.3
45.5,0,90,17.125,17.1
46,0,90,16.975,17
46.5,0,90,16.825,16.8
47,0,90,16.675,16.7
47.5,0,90,16.5,16.5
48,0,90,16.3,16.3
48.5,0,90,16.175,16.2
49,0,90,16.125,16.1
49.5,0,90,16.1,16.1
50,0,90,16.1,16.1
50.5,0,90,16.075,16.1
51,0,90,16.025,16
51.5,0,90,16,16
52,0,90,16,16
52.5,0,90,15.975,16
53,0,90,15.925,15.9
53.5,0,90,15.9,15.9
54,0,90,15.9,15.9
54.5,0,90,15.9,15.9
55,0,90,15.9,15.9
55.5,10.8,87.9612,16.0217,16
56,32.4,82.8816,16.2603,16.1
56.5,191.7,76.9101,17.5161,16.3
57,398.7,71.1803,19.1738,16.7
57.5,543.0193,65.7566,20.4864,17.2
58,735.9399,60.7224,22.1499,17.7
58.5,1093.3068,56.1839,24.96,18.3
59,1267.8122,52.2711,26.0736,19.1
59.5,1158.3058,49.1349,25.2952,19.7
60,1130.649,46.9316,25.2757,20.1
60.5,1082.3465,45.7967,25.159,20.4
61,1096.0003,45.8098,25.2021,20.7
61.5,1220.7527,46.97,26.0348,20.9
62,1177.1208,49.196,26.407,21.2
62.5,1010.7466,52.3515,26.166,21.3
63,831.3298,56.28,25.7291,21.4
63.5,610.65,60.8311,24.5174,21.3
64,447.75,65.8751,23.3544,21.2
64.5,291.15,71.3066,22.1954,21
65,162.45,77.0425,21.238,20.7
65.5,60.3,83.0188,20.484,20.3
66,0,88.0312,19.9,19.9
66.5,0,90,19.625,19.6
67,0,90,19.475,19.5
67.5,0,90,19.3,19.3
68,0,90,19.1,19.1
68.5,0,90,18.925,18.9
69,0,90,18.775,18.8
69.5,0,90,18.6,18.6
70,0,90,18.4,18.4
70.5,0,90,18.225,18.2
71,0,90,18.075,18.1
71.5,0,90,17.9,17.9
72,0,90,17.7,17.7
72.5,0,90,17.5,17.5
73,0,90,17.3,17.3
73.5,0,90,17.075,17.1
74,0,90,16.825,16.8
74.5,0,90,16.6,16.6
75,0,90,16.4,16.4
75.5,0,90,16.25,16.3
76,0,90,16.15,16.2
76.5,0,90,16.05,16.1
77,0,90,15.95,16
77.5,0,90,15.85,15.9
78,0,90,15.75,15.8
78.5,0,90,15.675,15.7
79,0,90,15.625,15.6
79.5,7.2,87.9851,15.6249,15.6
80,21.6,82.9255,15.6797,15.6
80.5,148.95,76.9459,16.2857,15.7
81,311.85,71.2066,17.1183,16
81.5,430.65,65.7719,17.846,16.2
82,526.95,60.725,18.631,16.5
82.5,599.4,56.1717,19.2319,16.7
83,631.8,52.2423,19.505,17
83.5,594,49.0875,19.5286,17.2
84,622.8,46.8649,19.8548,17.3
84.5,733.4554,45.7111,20.3071,17.4
85,748.2557,45.7072,20.129,17.4
85.5,663.2042,46.8536,19.9098,17.6
86,663.6255,49.0695,20.3238,17.7
86.5,756.9819,52.2186,21.1511,17.7
87,689.8239,56.1434,21.2184,17.8
87.5,477.45,60.693,20.2711,17.8
88,336.15,65.737,19.4824,17.7
88.5,197.1,71.1694,18.6276,17.6
89,98.1,76.907,17.9484,17.5
89.5,39.6,82.8851,17.4803,17.3
90,0,87.9645,17.1,17.1
